model: A_numerator
observables: 2
events: 32095
warmup epochs: 5
profiled epochs: 10
hostname: wn040
effective CPUs: 7
CPU affinity: 26,27,28,29,30,31,32,33
CPU model: Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz
cgroup cpuset: 0-103
cgroup CPU quota: -1
PyTorch intra-op threads: 7
PyTorch inter-op threads: 1
PyTorch version: 2.11.0
OMP_NUM_THREADS: 7
MKL_NUM_THREADS: 7
OPENBLAS_NUM_THREADS: 7
OMP_DYNAMIC: FALSE
MKL_DYNAMIC: FALSE
training device: cpu

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -------------------------------------  
                                        aten::new_zeros         0.00%      60.978us         0.01%     117.912us       5.896us       1.56 KB           0 B            20            [[100], [], [], [], [], []]  
                                        aten::transpose         0.00%      60.338us         0.01%      77.280us       3.864us           0 B           0 B            20                       [[4, 1], [], []]  
                                       aten::contiguous         0.00%      59.241us         0.17%       2.051ms      51.264us       4.88 MB           0 B            40                          [[15984], []]  
                                               aten::ge         0.00%      59.064us         0.00%      59.064us       5.906us        1000 B        1000 B            10                            [[100], []]  
                              aten::_local_scalar_dense         0.00%      57.779us         0.00%      57.779us       0.963us           0 B           0 B            60                                   [[]]  
                            aten::index_select_backward         0.00%      57.453us         0.03%     387.392us      19.370us       1.56 KB           0 B            20                 [[100], [], [], [100]]  
                                            aten::copy_         0.00%      56.309us         0.00%      56.309us       2.815us           0 B           0 B            20                   [[5948], [5948], []]  
                                             aten::add_         0.00%      56.301us         0.00%      56.301us       2.815us           0 B           0 B            20                         [[10], [], []]  
                                       aten::empty_like         0.00%      55.492us         0.01%     113.145us      11.314us          80 B           0 B            10               [[], [], [], [], [], []]  
                                   IndexSelectBackward0         0.00%      54.771us         0.04%     442.163us      22.108us       1.56 KB           0 B            20                                [[100]]  
                                        aten::transpose         0.00%      53.506us         0.01%      77.579us       7.758us           0 B           0 B            10                       [[2, 4], [], []]  
                                            aten::fill_         0.00%      50.304us         0.00%      50.304us       5.030us           0 B           0 B            10                           [[1, 4], []]  
                                            aten::fill_         0.00%      50.293us         0.00%      50.293us       0.838us           0 B           0 B            60                              [[1], []]  
                                        aten::ones_like         0.00%      50.230us         0.01%     170.885us      17.089us          80 B           0 B            10               [[], [], [], [], [], []]  
                                         SliceBackward0         0.00%      48.796us         0.04%     541.490us      27.075us       2.44 MB           0 B            20                               [[5948]]  
                                    aten::scalar_tensor         0.00%      48.225us         0.00%      48.225us       2.411us         160 B         160 B            20                   [[], [], [], [], []]  
                                              aten::div         0.00%      47.649us         0.00%      47.649us       2.382us      15.62 KB      15.62 KB            20                         [[100], [100]]  
                                           MulBackward0         0.00%      47.485us         0.01%     101.980us       5.099us         160 B           0 B            20                                   [[]]  
                                     aten::logical_and_         0.00%      47.399us         0.01%     109.057us      10.906us           0 B           0 B            10                     [[15984], [15984]]  
                                              aten::neg         0.00%      46.977us         0.00%      46.977us       2.349us      15.62 KB      15.62 KB            20                                [[100]]  
                                       aten::as_strided         0.00%      46.939us         0.00%      46.939us       2.347us           0 B           0 B            20                   [[1, 4], [], [], []]  
                                                 detach         0.00%      46.252us         0.00%      46.252us       2.313us           0 B           0 B            20                                 [[10]]  
                                       aten::as_strided         0.00%      44.992us         0.00%      44.992us       2.250us           0 B           0 B            20                   [[4, 2], [], [], []]  
                                             aten::sqrt         0.00%      42.524us         0.00%      42.524us       4.252us         320 B         320 B            10                                  [[4]]  
                                           MulBackward0         0.00%      41.948us         0.02%     246.215us      24.621us       1.22 MB           0 B            10                           [[15984, 1]]  
                                       aten::as_strided         0.00%      41.651us         0.00%      41.651us       4.165us           0 B           0 B            10               [[15984, 4], [], [], []]  
     autograd::engine::evaluate_function: TanhBackward0         0.00%      40.745us         0.12%       1.516ms     151.622us      -1.22 MB      -2.44 MB            10                                     []  
                                           MulBackward0         0.00%      39.703us         0.01%      87.529us       8.753us      15.62 KB           0 B            10                                [[100]]  
                                       aten::as_strided         0.00%      39.651us         0.00%      39.651us       1.983us           0 B           0 B            20               [[15984, 1], [], [], []]  
                                           MulBackward0         0.00%      39.117us         0.04%     553.561us      55.356us       2.44 MB           0 B            10                              [[15984]]  
                                             aten::add_         0.00%      38.830us         0.00%      38.830us       1.941us           0 B           0 B            20                       [[10], [10], []]  
                                           aten::expand         0.00%      37.874us         0.00%      46.859us       4.686us           0 B           0 B            10                          [[4], [], []]  
                                             aten::add_         0.00%      37.848us         0.00%      37.848us       1.262us           0 B           0 B            30                     [[100], [100], []]  
                                       SqueezeBackward1         0.00%      36.976us         0.01%     120.153us      12.015us           0 B           0 B            10                              [[15984]]  
                                             aten::mul_         0.00%      36.903us         0.00%      36.903us       3.690us           0 B           0 B            10                           [[4, 2], []]  
                                               aten::le         0.00%      35.676us         0.00%      35.676us       3.568us        1000 B        1000 B            10                            [[100], []]  
                                              aten::div         0.00%      34.285us         0.00%      34.285us       3.428us         640 B         640 B            10                           [[4, 2], []]  
                                           aten::expand         0.00%      33.746us         0.00%      47.921us       4.792us           0 B           0 B            10                          [[1], [], []]  
                                            aten::fill_         0.00%      33.697us         0.00%      33.697us       0.562us           0 B           0 B            60                               [[], []]  
                                        aten::new_empty         0.00%      31.477us         0.00%      57.597us       2.880us       1.56 KB           0 B            20          [[15984], [], [], [], [], []]  
                                           NegBackward0         0.00%      31.390us         0.01%     180.874us       9.044us       1.53 MB           0 B            20                              [[10036]]  
                                       aten::as_strided         0.00%      29.598us         0.00%      29.598us       1.480us           0 B           0 B            20                 [[100, 2], [], [], []]  
                                              aten::div         0.00%      29.395us         0.00%      29.395us       2.939us         320 B         320 B            10                              [[4], []]  
autograd::engine::evaluate_function: SqueezeBackward...         0.00%      29.156us         0.01%     149.309us      14.931us           0 B           0 B            10                                     []  
                                              aten::div         0.00%      27.636us         0.00%      27.636us       2.764us         320 B         320 B            10                           [[1, 4], []]  
                                             aten::sqrt         0.00%      27.355us         0.00%      27.355us       2.735us         640 B         640 B            10                               [[4, 2]]  
                                        aten::transpose         0.00%      25.939us         0.00%      33.585us       3.359us           0 B           0 B            10                   [[15984, 1], [], []]  
                                            aten::lerp_         0.00%      25.834us         0.00%      25.834us       2.583us           0 B           0 B            10                   [[4, 2], [4, 2], []]  
                                            aten::lerp_         0.00%      25.447us         0.00%      25.447us       2.545us           0 B           0 B            10                         [[4], [4], []]  
                                     aten::resolve_conj         0.00%      24.534us         0.00%      24.534us       0.818us           0 B           0 B            30                           [[15984, 4]]  
                                            aten::lerp_         0.00%      24.460us         0.00%      24.460us       2.446us           0 B           0 B            10                         [[1], [1], []]  
                                              aten::div         0.00%      24.390us         0.00%      24.390us       2.439us          80 B          80 B            10                              [[1], []]  
                                         aten::addcmul_         0.00%      24.383us         0.00%      24.383us       2.438us           0 B           0 B            10           [[4, 2], [4, 2], [4, 2], []]  
                                       aten::as_strided         0.00%      24.073us         0.00%      24.073us       2.407us           0 B           0 B            10                   [[2, 4], [], [], []]  
                                                aten::t         0.00%      23.732us         0.00%      57.317us       5.732us           0 B           0 B            10                           [[15984, 1]]  
                                             aten::sqrt         0.00%      23.724us         0.00%      23.724us       2.372us         320 B         320 B            10                               [[1, 4]]  
                                             aten::mul_         0.00%      23.630us         0.00%      23.630us       2.363us           0 B           0 B            10                              [[4], []]  
                                            aten::lerp_         0.00%      23.623us         0.00%      23.623us       2.362us           0 B           0 B            10                   [[1, 4], [1, 4], []]  
                                             aten::mul_         0.00%      23.564us         0.00%      23.564us       2.356us           0 B           0 B            10                           [[1, 4], []]  
                                         aten::addcmul_         0.00%      23.523us         0.00%      23.523us       2.352us           0 B           0 B            10                    [[4], [4], [4], []]  
                                     aten::logical_and_         0.00%      23.498us         0.00%      46.308us       4.631us           0 B           0 B            10                         [[100], [100]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -------------------------------------  
Self CPU time total: 1.233s
